question,code,difficulty,category
What are the complications of worm infestations in humans and measures to prevent it? (5+5),5-B,MEDIUM,LE
Describe the SAnitation measures in choLEra control.,5-B,MEDIUM,SE
Describe the Home AvailabLE Fluids (HAF) uSEd in the management of dehydration.,5-B,MEDIUM,SE
Explain the AsSEssment of dehydration in a child under five years of age.,5-B,MEDIUM,SE
What is the composition of ORS? How will you advice a mother to prepare ORS solution for her dehydrated child? (2+3),5-B,MEDIUM,SE
What are the  advantages of Zinc suppLEmentation in diarrhoea prevention?,5-B,LOW,SA
Mention diSEaSEs transmitted through faeco-oral route of transmission. Describe the measures to prevent them. (2+8),5-B,LOW,LE
Describe the dynamics of transmission in enteric infection.,5-B,MEDIUM,SE
List the availabLE typhoid vaccines in India along with their route of administration.,5-B,MEDIUM,SA
What is the importance of carrier state in enteric infection?,5-B,MEDIUM,SA
Describe the Epidemiological types of Malaria.,5-C,MEDIUM,SE
Describe the preSEnt treatment guideline for Malaria in India.,5-C,MEDIUM,SE
Describe  Mass Drug Administration(MDA) for control of filaria.,5-C,MEDIUM,SE
Explain the Epidemiological indices of Malaria.,5-C,MEDIUM,SE
What is Man-made malaria? Give two exampLEs.,5-C,MEDIUM,SA
Name the parameters of malaria surveillance.,5-C,HIGH,SA
Mention two drugs along with doSE and doSAge uSEd for chemoprophylaxis for Malaria.,5-C,MEDIUM,SA
What is the importance of Night blood examination in Filarial survey.,5-C,LOW,SA
Enumerate and define three Filarial indices of importance.,5-C,MEDIUM,SA
Classify Arboviral diSEaSEs. Explain the epidemiology and control measures of Chikungunya fever. (2+4+4),5-D,MEDIUM,LE
Describe epidemiological determinants of LEishmaniasis and its control measures. (5+5),5-D,MEDIUM,LE
Describe the epidemiology of Rabies and the measures taken to control the diSEaSE. (5+5),5-D,MEDIUM,LE
Define and classify zoonoSEs with exampLEs. Describe the epidemiological determinants of rabies. (2+3+5),5-D,MEDIUM,LE
Describe the international measures for the control of yelLOW fever in non-endemic areas.,5-D,MEDIUM,SE
Discuss about the International certificate of vaccination against yelLOW fever.,5-D,HIGH,SE
Describe the control measures for Chikungunya.,5-D,MEDIUM,SE
What is the mode of transmission of Chikungunya fever? Mention the measures to prevent transmission. (2+3),5-D,LOW,SE
Describe epidemiological determinants of JapaneSE Encephalitis and its control.(5+5),5-D,MEDIUM,LE
Describe the epidemiological factors of Rabies.,5-D,MEDIUM,SE
Describe the treatment of wound of dog bite.,5-D,MEDIUM,SE
Describe the WHO guidelines for post exposure treatment of Rabies.,5-D,HIGH,SE
Discuss the methods of control of rabies in dogs.,5-D,HIGH,SE
Describe the personal protective measures against Rabies.,5-D,HIGH,SE
Explain the regimen of post exposure rabies prophylaxis in class III bites.,5-D,MEDIUM,SE
Classify rabies vaccines. Mention the immunization scheduLE of the cell culture vaccines for rabies. ,5-D,MEDIUM,SE
Describe the intradermal scheduLEs of cell culture vaccine for rabies.,5-D,HIGH,SE
Describe rat fLEa control measures.,5-D,MEDIUM,SA
What is the warning sign for HIGH aLErt in plague? Enumerate measures to be taken folLOWing it. ,5-D,HIGH,SE
What are the Steps of First Aid in a caSE of dog bite.,5-D,MEDIUM,SA
What are the types of vaccines for post exposure prophylaxis against rabies?,5-D,MEDIUM,SA
Enumerate and define three fLEa indices. ,5-D,MEDIUM,SA
Discuss the guidelines for management of Acute Encephalitic Syndrome in India.,5-D,HIGH,SE
Discuss the control measures for vectors of JapaneSE encephalitis.,5-D,MEDIUM,SE
Describe the epidemiology of LEprosy in India and the measures taken by the government of India to contain its spread. (5+5),5-E,MEDIUM,LE
What is the treatment regimen for multibacillary LEprosy. Describe the prevention and control measures of LEprosy.(5+5),5-E,MEDIUM,LE
List the SExually Transmitted Infections (STI) of Public health importances. Describe the control strategies of STIs at a PHC LEvel . (4+6),5-E,HIGH,LE
Describe the measures adopted for Prevention and control of Tetanus neonatarum.,5-E,MEDIUM,SE
Describe the epidemiology of LEprosy in India.,5-E,LOW,SE
What are the different classifications of LEprosy? Describe the WHO classification with its importance.,5-E,MEDIUM,SE
Describe the WHO classification of LEprosy with its importance.,5-E,MEDIUM,SE
Describe the methods of LEprosy control adopted in India. ,5-E,MEDIUM,SE
Describe chemotherapy in LEprosy. ,5-E,MEDIUM,SE
Describe National LEprosy elimination campaign in India.,5-E,MEDIUM,SE
What are the cardinal signs of LEprosy? ,5-E,LOW,SA
Mention the reSErvoirs of infection in  LEprosy.,5-E,LOW,SA
Explain the Social factors responsibLE for spread of SExually Transmitted Infections.,5-E,MEDIUM,SE
Describe the Post exposure prophylaxis in HIV infection.,5-E,MEDIUM,SE
Discuss the UniverSAl precautions for the prevention of HIV/AIDS.,5-E,MEDIUM,SE
What are Nosocomial infections? Give four exampLEs.,5-F,MEDIUM,SA
What are Iatrogenic infection ?Explain with two exampLEs.,5-F,MEDIUM,SA
Describe the epidemiology of SARS.,5-F,MEDIUM,SE
List any six emerging infectious diSEaSEs. Discuss the control measures for emerging diSEaSEs. ,5-F,MEDIUM,SE
What are the risk factors of coronary heart diSEaSEs? Describe methods of prevention of coronary heart diSEaSEs in a community. (4+6),6-A,MEDIUM,LE
Describe the epidemiology and preventive measures for rheumatic fever. (5+5),6-A,MEDIUM,LE
Describe the methods of  Prevention of Rheumatic Heart DiSEaSE.,6-A,MEDIUM,SE
Describe the preventive measures  for coronary artery diSEaSE.,6-A,LOW,SE
Explain the RuLE of Halves in hypertension.,6-A,MEDIUM,SE
What are the ways measuring the burden of coronary artery diSEaSE in the community?,6-A,LOW,SE
List six Risk Factors for coronary heart diSEaSE.,6-A,LOW,SA
What is meant by tracking of blood pressure? Mention its public health importance.,6-A,LOW,SA
List the non-modifiabLE risk factors for hypertension.,6-A,LOW,SA
Describe epidemiology of stroke in India.,6-A,MEDIUM,SE
Describe the epidemiology and prevention of cancer cervix.  (5+5),6-B,MEDIUM,LE
What are the risk factors of lung cancer? Describe methods of prevention of  lung cancer. (4+6),6-B,MEDIUM,LE
Describe the types of cancer registries availabLE in India.,6-B,MEDIUM,SE
Describe the Epidemiological features of oral cancers in India,6-B,HIGH,SE
What is primordial prevention of cancer. Give exampLEs.,6-B,LOW,SE
Enlist warning signal of cancer.,6-B,LOW,SE
What are the danger signals of cancer.,6-B,LOW,SA
Mention the measures for early detection of breast cancer.,6-B,HIGH,SA
List three uSEs of cancer registries.,6-B,MEDIUM,SA
Describe the Epidemiological features of oral cancers in India.,6-B,HIGH,SE
List the risk factors and complications of Diabetes mellitus. What are the preventive measures of Diabetes mellitus?  (3+3+4),6-C,MEDIUM,LE
Describe multicauSAlity nature of Diabetes Mellitus. What are the control measures that could be adopted at the district LEvel to reduce the burden of diabetes. (4+6),6-C,LOW,LE
Explain the roLE of diet in cauSAtion and prevention of  non-communicabLE diSEaSEs.(5+5),6-C,MEDIUM,LE
Describe the methods of screening for diabetes mellitus.,6-C,LOW,SE
Describe the methods to asSEss the status of obesity in an individual.,6-C,MEDIUM,SE
Describe the preventive measures for obesity.,6-C,MEDIUM,SE
What is Body Mass Index? Classify nutritional status baSEd on BMI. ,6-C,LOW,SE
What are the hazards of obesity.,6-C,MEDIUM,SA
Mention the components of SElfcare in Diabetes Mellitus.,6-C,LOW,SA
Describe the epidemiological factors and control measures for road traffic accidents?  (5+5),6-D,MEDIUM,LE
Describe the epidemiology and control measures of preventabLE blindness in India. (5+5),6-D,MEDIUM,LE
Discuss the common cauSEs of blindness in India.,6-D,MEDIUM,SE
Describe the steps in  prevention of  road traffic accidents.,6-D,MEDIUM,SE
List five exampLEs for domestic accidents. Mention the preventive measures that could be adopted for them.,6-D,LOW,SE
List the cauSEs of blindness in India. Enumerate two strategies adopted to reduce the burden of blindness in India. ,6-D,MEDIUM,SE
How will you plan for prevention of blindness in a Primary Health Centre area.,6-D,LOW,SE
What is meant by accident proneness? Give three exampLE. ,6-D,MEDIUM,SA
List six human factors that contribute to accidents.,6-D,LOW,SA
Define Economic blindness and Social blindness.,6-D,MEDIUM,SA
What is avoidabLE blindness?Give three exampLEs.,6-D,MEDIUM,SA
Define blindness according to WHO.,6-D,MEDIUM,SA
What are the cauSEs of preventabLE blindness?,6-D,MEDIUM,SA
Discuss the strategies under the Diarrhoeal diSEaSEs control program in India. ,7-A,MEDIUM,SE
Illustrate the health care infrastructure of VISION 2020 programme with the help of a diagram..,7-A,MEDIUM,SA
List the types blindness as per VISION 2020 programme.,7-A,LOW,SA
State the classification of endemic areas of malaria as per NVBDCP.,7-A,MEDIUM,SA
What are the active surveillance activities in Malaria prevention and control?,7-A,MEDIUM,SA
Define presumptive diagnosis as per IDSP.,7-A,MEDIUM,SA
Describe the strategies adopted under National Cancer control programme in India.,7-A,MEDIUM,SE
Explain the strategies to prevent Iodine Deficiency under National Goitre Control Programme.,7-A,MEDIUM,SE
Describe the functions of tuberculosis unit under RNTCP in India.,7-B,MEDIUM,SE
What is DOTS- plus strategy? Mention the framework of DOTS plus programme.(2+3) ,7-B,MEDIUM,SE
What are the components of DOTS strategy.,7-B,LOW,SA
Mention the categories of tuberculosis patients under RNTCP. Describe treatment strategy under Category I. (4+6)    ,7-B,MEDIUM,LE
Enumerate the National Health Programmes in India. Describe the objectives and strategies of RNTCP. (4+6),7-B,MEDIUM,LE
List the objectives of RNTCP.,7-B,MEDIUM,SA
What are the principLEs of RNTCP?,7-B,MEDIUM,SA
What are the categories of patients under RNTCP?,7-B,MEDIUM,SA
Who is a caSE of treatment failure as per RNTCP?,7-B,LOW,SA
Differentiate betweeen MDR TB and XDR TB.,7-B,MEDIUM,SA
Who is a tuberculosis suspect?,7-B,MEDIUM,SA
Enumerate the deformities in LEprosy.,7-B,LOW,SA
State the WHO classification for LEprosy.,7-B,MEDIUM,SA
What is the treatment regimen for Pauci-bacillary LEprosy as per NLEP?,7-B,LOW,SA
What is the treatment regimen for multi-bacillary LEprosy as per NLEP?,7-B,MEDIUM,SA
What is SEntinel surveillance in National AIDS control programme?,7-B,MEDIUM,SA
Illustrate the diagnostic algorithm of  diagnosis of pulmonary tuberculosis in an adult as per RNTCP.,7-B,MEDIUM,SE
Mention five bacterial agents causing Acute Respiratory Infections among children. What is the doSE scheduLE of cotrimoxazoLE for treatment of pneumonia among children beLOW 5 years of age as per IMNCI? ,7-C,LOW,SE
Describe the management of Acute diarrheal diSEaSEs under IMNCI.,7-C,LOW,LE
What is the Treatment plan for a child with dehydration according to IMNCI?,7-C,MEDIUM,SE
A 4 year old maLE child is brought to your Primary Health Centre (PHC) with complaints of looSE stools and vomiting for the past 3 days. How would you manage the child according to IMNCI programme? ,7-C,MEDIUM,LE
Define reproductive health. Describe the main components of Reproductive and Child Health Programme (RCH) in India. (2+8)   ,7-C,MEDIUM,LE
List the danger signs as per IMNCI programme.,7-C,HIGH,SA
Enumerate community nutritional programmes in India. List the objectives of mid-day-meal programme. Desribe the principLEs of mid-day-meal programme? (3+3+4),7-C,MEDIUM,LE
State the objectives of ICDS programme. Enumerate the beneficiaries and their benefits under this programme. (4+6),7-C,MEDIUM,LE
"List the objectives of Reproductive and Child Health (RCH) programme, phaSEII. Desribe the various strategies under RCH phaSE II to attain the objectives. (4+6)",7-C,MEDIUM,LE
List the aims and objectives of National Rural Health Mission (NRHM). Enumerate the strategies under NRHM. (2+3+5),7-C,MEDIUM,LE
"Describe the components of ""EsSEntial obstetric care"" as per Reproductive and Child Health (RCH) phaSE II programme.",7-C,MEDIUM,SE
"Describe the components of ""Emergency obstetric care"" as per Reproductive and Child Health (RCH) phaSE II programme.",7-C,LOW,SE
Describe the SAlient features of Janani Suraksha Yojana.,7-C,MEDIUM,SE
Enumerate the SErvices provided by first referral units (FRUs).,7-C,MEDIUM,SE
"Name the components of Reproductive and Child Health (RCH) programme,phaSEI.",7-C,MEDIUM,SA
What is esSEntial obstetric care?,7-C,MEDIUM,SA
What is esSEntial newborn care?,7-C,MEDIUM,SA
List the strategies under phaSE II of Reproductive and Child Health (RCH) programme.,7-C,MEDIUM,SA
What is Mission Indradanush?,7-C,MEDIUM,SA
What is Minimum Needs Programme? State its importance.,7-C,MEDIUM,SA
Define demography. Enumerate the vital events contributory for the population of a country. Describe the various stages in demographic cycLE with suitabLE exampLEs.(2+2+6),8-A,MEDIUM,LE
Define population explosion. Describe the factors responsibLE for the preSEnt explosive growth status of Indian population.(3+7),8-A,MEDIUM,LE
Define Total fertility rate and discuss the factors influencing fertility in India. (2+3),8-A,MEDIUM,SE
Define SEx ratio. Describe the factors affecting the SEx ratio in India.(2+3),8-A,MEDIUM,SE
Define fertility. Enumerate the factors responsibLE for HIGH fertility in India. (2+3),8-A,MEDIUM,SE
Define Life expectancy. Mention the life expectancy in India. (3+2),8-A,MEDIUM,SE
Describe stages of Demographic cycLE with exampLEs.(3+2),8-A,MEDIUM,SE
What are Growth rate and Explosive growth rate,8-A,MEDIUM,SA
Define SEx ratio.Mention two conditions which affect SEx composition of a population.,8-A,MEDIUM,SA
What is meant by compLEted family size?,8-A,MEDIUM,SA
Define Dependency ratio.Mention the formula for calculation total dependency ratio.,8-A,MEDIUM,SA
List THREE cauSEs for increaSEd urban population.,8-A,MEDIUM,SA
Define demographic gap.,8-A,MEDIUM,SA
Classify the family planning methods. Manage a newly married coupLE visiting your clinic SEeking the advice about the family planning method. (4+6)    ,8-B,MEDIUM,LE
Classify the Intra-uterine devices. Explain the mechanism of action of IUDs and mention the complications of the SAme. (4+3+3)   ,8-B,MEDIUM,LE
AdoLEscent boy visits your urban health centre with the history of unprotected intercourSE with his girl friend.Explain how to manage the situation and describe cafeteria approach. (5+5),8-B,MEDIUM,LE
"A 30 year old mother of 2 children, where the SEcond child is 2 years visits your primary health centre (PHC) SEeking the advice about family planning. How do you manage the situation as the medical officer of the PHC?   ",8-B,HIGH,LE
List the injectabLE contraceptives. Mention its advantages and diSAdvantages.(2+3),8-B,MEDIUM,SE
Enumerate the SAlient features of National Population Policy.,8-B,MEDIUM,SE
Describe the Barrier Methods in Family planning. List their advantages and diSAdvantages (3+2),8-B,MEDIUM,SE
Classify Oral contraceptive pills(OCPs).Enumerate the side effects of OCPs.(3+2),8-B,MEDIUM,SE
Discuss regarding Emergency contraception. Mention the methods. (2+3),8-B,MEDIUM,SE
Classify IUCD. List the complications of IUCD uSE. (3+2),8-B,MEDIUM,SE
Define post-coital contraception. Mention the methods availabLE of the SAme (2+3),8-B,MEDIUM,SE
Classify oral pills and mention the contraindications of oral pills (3+2),8-B,MEDIUM,SE
Describe the MTP act and list the indications for Medical termination of Pregnancy(MTP)? (2+3),8-B,MEDIUM,SE
List the natural family planning methods and enumerate their diSAdvantages (3+2),8-B,MEDIUM,SE
Define unmet needs for family planning. List the reasons for the SAme. (2+3),8-B,MEDIUM,SE
Define the Community Needs AsSEssment Approach (CNAA).Explain with an exampLE of CNAA in Family planning. (2+3),8-B,MEDIUM,SE
Describe an ideal candidate for Intra-Uterine Contraceptive Device(IUCD).List the advantages of IUCDs.(3+2),8-B,MEDIUM,SE
Discuss regarding emergency contraception.List the methods of emergency contraception. (2+3),8-B,MEDIUM,SE
Enumerate the exampLEs for combined pills.List the advantages of oral pills. (3+2),8-B,MEDIUM,SE
Define Family planning. Mention the SErvices provided under family planning program in India. (2+3),8-B,MEDIUM,SE
Enumerate the SAlient features of National Population Policy.,8-B,MEDIUM,SE
Define Net Reproduction Rate (NRR). Interpret the meaning of NRR = 1.,8-B,MEDIUM,SA
Define an EligibLE coupLE.What is their importane?,8-B,MEDIUM,SA
Define CoupLE Protection Rate (CPR),8-B,MEDIUM,SA
Define Pearl Index.,8-B,MEDIUM,SA
Classify and list the contraceptive methods.,8-B,MEDIUM,SA
List THREE advantages of condom.,8-B,MEDIUM,SA
Mention the mechanism of action of Copper-T.,8-B,MEDIUM,SA
Mention the mechanism of action of combined oral pills.,8-B,MEDIUM,SA
List the criteria for an ideal candidate for IUCDs.,8-B,MEDIUM,SA
Mention the component of mini-pill and an indication for its uSE.,8-B,MEDIUM,SA
List THREE emergency contraception methods.,8-B,MEDIUM,SA
Enumerate THREE indications for MTP.,8-B,MEDIUM,SA
List THREE natural family planning methods.,8-B,MEDIUM,SA
List THREE  non contraceptive benefits of OCP.,8-B,MEDIUM,SA
Define   Target free approach in family planning programme. ,8-B,MEDIUM,SA
"Define family planning, List the objectives of family planning and Classify family planning methods.  (2+4+4)   ",8-B,MEDIUM,LEQ 
Define Maternal Mortality Rate (MMR). Explain the cauSEs and measures for reduction of maternal mortality in India. (2+4+4),9-A,MEDIUM,LE
Define HIGH risk approach in antenatal care. Discuss the HIGH risk conditions in pregnancy. (2+8),9-A,MEDIUM,LE
List the objectives of antenatal care. Describe the various measures to attain the objectives.(4+6),9-A,MEDIUM,LE
Discuss the concept of  HIGH risk approach in antenatal care. Enumerate the HIGH risk conditions. (3+2),9-A,MEDIUM,SE
Define Maternal Mortality Rate (MMR) and list the cauSEs of MMR.(2+3),9-A,MEDIUM,SE
Describe the components of post natal care.,9-A,MEDIUM,SE
Discuss the complications of post partum period .,9-A,MEDIUM,SE
"List SIX conditions of   HIGH Risk  pregnancy""",9-A,MEDIUM,SA
Enumerate THREE Warning Signs during pregnancy.,9-A,LOW,SA
What is  Mother Craft technique and list TWO components of the SAme.,9-A,MEDIUM,SA
Define Maternal Mortality Rate.,9-A,MEDIUM,SA
List THREE advantages of breast feeding to the mother,9-A,MEDIUM,SA
Define Peri-natal Mortality Rate. Explain the cauSEs and measures for reduction of peri-natal mortality in India. (2+4+4),9-B,MEDIUM,LE
Define Infant Mortality Rate. Explain the cauSEs for infant mortality in India. (3+7),9-B,MEDIUM,LE
What is under five clinics? Describe the activities of under five clinics. (4+6),9-B,MEDIUM,LE
Enumerate the common probLEms of under five in India. Describe the measures taken to ensure child survival in India.(4+6),9-B,MEDIUM,LE
What are the morbidities of a newborn? Describe the esSEntial newborn care to SAfe guard the newborn.(5+5),9-B,MEDIUM,LE
Define Neonatal Mortality Rate. Describe the measures by the government of India to prevent the SAme.(2+8),9-B,MEDIUM,LE
What are the cauSEs of LOW Birth Weight babies in India? Mention the measures for their prevention.(4+6),9-B,MEDIUM,LE
Enumerate the beneficiaries of ICDS programme and list the benefits of a child at the anganwadi.(3+2),9-B,MEDIUM,SE
